Temperature,Volume,F,Debye Temperature,B,E,alpha,Cv,Cp
1.0,277.1780806336485,-19.188726464902103,,86.7798964677899,458.9441008249794,5.187208554282919e-12,7.075794610284644e-06,7.075794610342401e-06
2.0,277.17807224055554,-19.18872646490884,,86.77990736548385,458.9441584585162,4.149765854764852e-11,5.6606348790565576e-05,5.6606348797958384e-05
3.0,277.1780806623297,-19.18872646493804,,86.77989643054987,458.94410062803183,1.4005463107966304e-10,0.00019104645457100876,0.0001910464546973219
4.0,277.17807232652086,-19.188726465016643,,86.77990725386543,458.9441578682111,3.319812691912885e-10,0.00045285079098755234,0.000452850791933832
5.0,277.17807675457277,-19.188726465182388,,86.7799015044288,458.9441274617444,6.484009978893634e-10,0.0008844742678514407,0.0008844742723636547
6.0,277.1780770173564,-19.188726465483782,,86.77990116322736,458.9441256572668,1.1204369327105361e-09,0.001528371541687672,0.001528371557855751
7.0,277.1780730895797,-19.188726465980114,,86.77990626310049,458.94415262845223,1.7792121531099344e-09,0.0024269972394902833,0.0024269972870551043
8.0,277.17808206510864,-19.18872646674146,,86.7798946091648,458.944090995456,2.655850887708615e-09,0.0036228069287895155,0.0036228070499133677
9.0,277.1780758468102,-19.188726467848667,,86.77990268307873,458.94413369515166,3.78147452225119e-09,0.005158253850360064,0.0051582541266068345
10.0,277.1780731372354,-19.188726469393366,,86.77990620122374,458.9441523012109,5.187207450486173e-09,0.0070757937068809005,0.007075794284444201
11.0,277.1780817146718,-19.18872647147797,,86.77989506417624,458.9440934018292,6.904174797610461e-09,0.009417882799685837,0.009417883925193755
12.0,277.17807961182393,-19.18872647421567,,86.77989779453922,458.94410784162494,8.963496121811446e-09,0.012226972873783212,0.012226974943297548
13.0,277.17808259035513,-19.188726477730437,,86.77989392717843,458.9440873887034,1.1396297826741681e-08,0.01554552127686029,0.015545524900985902
14.0,277.1780859028157,-19.18872648215702,,86.77988962623999,458.9440646427633,1.423370240188417e-08,0.01941598215304772,0.019415988241348374
15.0,277.1780945184679,-19.188726487640956,,86.77987843957527,458.94400548097593,1.7506835770714587e-08,0.02388081245703087,0.023880822325250902
16.0,277.1780955260736,-19.18872649433855,,86.77987713128825,458.9439985619701,2.1246815220089963e-08,0.02898246207484344,0.028982477578705992
17.0,277.1781032017463,-19.188726502416902,,86.77986716510573,458.94394585482405,2.5484771953047402e-08,0.03476339228221028,0.03476341598189846
18.0,277.1781138544838,-19.18872651205388,,86.77985333347006,458.94387270484515,3.025182881562994e-08,0.0412660575149234,0.041266092874571
19.0,277.1781269772064,-19.188726523438135,,86.77983629478142,458.9437825940481,3.557911027523084e-08,0.04853291353499687,0.04853296516187426
20.0,277.1781221583839,-19.1887265367691,,86.7798425515935,458.9438156838202,4.1497717332715354e-08,0.05660639689480605,0.05660647082307302
21.0,277.17815385471994,-19.188726552256995,,86.77980139673245,458.9435980322503,4.803883819722352e-08,0.06552901550949625,0.06552911953414148
22.0,277.1781679825371,-19.188726570122807,,86.77978305303164,458.9435010197668,5.523353336181609e-08,0.07534317272320931,0.07534331678878584
23.0,277.1781800726276,-19.188726590598314,,86.77976735513961,458.9434179999059,6.311294367264188e-08,0.0860913375265828,0.08609153417775411
24.0,277.1781985260316,-19.188726613926068,,86.77974339506564,458.94329128467507,7.170820803760249e-08,0.09781597702227678,0.09781624192152047
25.0,277.1782194402571,-19.18872664035941,,86.77971623984779,458.9431476716086,8.105044448374718e-08,0.11055954052657785,0.1105598930455088
26.0,277.17823891907034,-19.18872667016245,,86.77969094839156,458.94301391523055,9.117076474894402e-08,0.12436447073134857,0.12436493462249226
27.0,277.1782611159836,-19.18872670361009,,86.77966212774238,458.94286149436516,1.0210029414269172e-07,0.13927321852935426,0.1392738226854742
28.0,277.17829497021677,-19.18872674098801,,86.77961817115894,458.94262902560814,1.138701690491849e-07,0.15532823852297142,0.15532901783113137
29.0,277.1783237728084,-19.18872678259266,,86.77958077368548,458.9424312453557,1.2651143000385237e-07,0.17257189756652988,0.1725728938631268
30.0,277.1783643723562,-19.188726828731284,,86.77952805900097,458.9421524585114,1.4005519902536607e-07,0.19104661387052363,0.19104787700806838
31.0,277.1784004410857,-19.188726879721887,,86.77948122719009,458.9419047838286,1.5453243540073892e-07,0.21079464833316494,0.2107962373618362
32.0,277.1784448609496,-19.188726935893264,,86.77942355226955,458.9415997642834,1.699741460444163e-07,0.2318582644303741,0.2318602489081362
33.0,277.1784910209606,-19.188726997584972,,86.77936361798562,458.94128279587073,1.8641116119885738e-07,0.2542795281462326,0.25428198957945597
34.0,277.17855551513736,-19.18872706514733,,86.77927987865719,458.9408399321159,2.0387429770127672e-07,0.27810042019300923,0.2781034536221171
35.0,277.17860549486744,-19.1887271389414,,86.77921498497537,458.94049673543475,2.223939101904203e-07,0.3033624418178449,0.30336615754277435
36.0,277.17868572770516,-19.188727219339,,86.77911081078435,458.93994579987975,2.420005711928691e-07,0.3301071385286747,0.33011166400833714
37.0,277.17873558309157,-19.188727306722647,,86.77904607870681,458.939603457859,2.6272385289937096e-07,0.3583750640854669,0.358380545969221
38.0,277.1788175126336,-19.18872740148556,,86.77893970177621,458.9390408728969,2.845937768401131e-07,0.38820692148848607,0.38821352786132274
39.0,277.17890270771164,-19.188727504031608,,86.77882908506072,458.9384558654114,3.0763923081938837e-07,0.41964221609283164,0.41965013884927643
40.0,277.1789862097403,-19.188727614775264,,86.77872066675901,458.9378824844555,3.318886555318622e-07,0.452719760367938,0.4527292177875804
41.0,277.1790847399751,-19.188727734141565,,86.77859273618242,458.937205910896,3.5736998481206285e-07,0.4874775627027748,0.487488802212597
42.0,277.1791822276763,-19.188727862566033,,86.77846615945042,458.9365364972781,3.841100107443796e-07,0.5239522414946785,0.5239655425907008
